line_key,line_name,location_direction,affected_area,location_from_km,location_to_km,restriction_occurrences,distinct_tsr_count,first_seen_notice_date,last_seen_notice_date
UNCLASSIFIED,Unclassified,Unknown,RRP Scope ATMUP 19.2940km - 19.5070km,19.294,19.507,7,3,2024-01-28,2024-05-05
UNCLASSIFIED,Unclassified,Up,Up Main Claisebrook 0.850km to 0.950km,0.85,0.95,7,1,2021-02-06,2021-04-17
UNCLASSIFIED,Unclassified,Up,Up Main design issues Claisebrook 0.990km to 1.150km,0.99,1.15,7,1,2021-05-15,2021-07-03
ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Works Cockburn 21.142km to 21.242km,21.142,21.242,6,1,2021-09-18,2021-10-30
ATMUP,Armadale Line,Up,Armadale Line Up Main Claisebrook 0.735km to 0.275km,0.275,0.735,6,1,2021-07-24,2021-09-04
ATMUP,Armadale Line,Up,Lawley Up Main 21 Armadale - ATMBI 40.747km to 40.874km,40.747,40.874,6,1,2022-02-26,2022-04-09
FTM,Fremantle Line,Unknown,FTMDM 4.8900km - 5.3200km,4.89,5.32,6,1,2024-01-21,2024-02-25
FTM,Fremantle Line,Unknown,FTMUP 17.4700km to 18.0500km,17.47,18.05,6,1,2023-01-28,2023-03-04
FTM,Fremantle Line,Unknown,FTMUP 20.7650km - 20.8500km,20.765,20.85,6,2,2024-02-25,2024-03-31
FTM,Fremantle Line,Unknown,FTMUP 4.878km - 5.436km,4.878,5.436,6,1,2024-09-08,2024-10-13
FTM,Fremantle Line,Unknown,Main Works Claremont 10.890km to 12.503km,10.89,12.503,6,1,2021-04-06,2021-05-08
FTM,Fremantle Line,Unknown,Railway (km) Speed Imposed Restriction Cancelled Fremantle - Section,,,6,1,2021-07-31,2021-09-11
FTM,Fremantle Line,Unknown,Railway Speed Imposed Restriction Cancelled Fremantle - Section,,,6,1,2021-09-18,2021-10-30
FTM,Fremantle Line,Unknown,Robbs Jetty Crossing Review Mundijong to 40.874km to 40.747km,40.747,40.874,6,1,2021-01-23,2021-02-27
FTMUP,Fremantle Line,Up,Fremantle Up Main Works Claremont 10.890km to 12.503km,10.89,12.503,6,1,2021-04-06,2021-05-08
FTMUP,Fremantle Line,Up,Robbs Jetty Crossing Review Mundijong to 40.874km to 40.747km Up,40.747,40.874,6,1,2021-09-18,2021-10-30
FTMUP,Fremantle Line,Up,Robbs Jetty Review Mundijong to 40.874km to 40.747km Up,40.747,40.874,6,1,2021-07-31,2021-09-11
JTM,Joondalup Line,Unknown,Main Joondalup 25.848km to 25.960km,25.848,25.96,6,1,2021-07-31,2021-09-11
JTMDN,Joondalup Line,Down,Down Main Joondalup 25.960km to 25.848km Up,25.848,25.96,6,1,2021-07-31,2021-09-11
JTMDN,Joondalup Line,Down,Down Main Whitfords 19.150 to 20.150km,19.15,20.15,6,1,2021-01-23,2021-02-27
JTMDN,Joondalup Line,Down,Lawley Rail Internal Defect Whitfords 19.150 to 20.150km Down Main,19.15,20.15,6,1,2021-09-18,2021-10-30
JTMDN,Joondalup Line,Down,issues Joondalup 25.848km to 25.960km Down,25.848,25.96,6,1,2021-09-18,2021-10-30
JTMUP,Joondalup Line,Up,Main design issues Whitfords 20.150km to 19.150km Up,19.15,20.15,6,1,2021-07-31,2021-09-11
JTMUP,Joondalup Line,Up,Main issues Joondalup 25.960km to 25.848km Up Main,25.848,25.96,6,1,2021-09-18,2021-10-30
JTMUP,Joondalup Line,Up,Up Main 20 issues Joondalup JTMDN 25.960km to 25.848km,25.848,25.96,6,1,2022-02-26,2022-04-09
JTMUP,Joondalup Line,Up,Up Main 20 issues Joondalup JTMUP 25.848km to 25.960km,25.848,25.96,6,1,2022-02-26,2022-04-09
JTMUP,Joondalup Line,Up,Up Main Warwick JTMDN 13.350km to 13.460km,13.35,13.46,6,1,2021-11-06,2021-12-25
JTMUP,Joondalup Line,Up,design issues Whitfords 20.150km to 19.150km Up Main,19.15,20.15,6,1,2021-09-18,2021-10-30
MTMBI,Midland Line,Bidirectional,Mundijong Armadale Bi-Directional Railhead Guildford 10.250km to 10.350km Midland,10.25,10.35,6,1,2021-09-18,2021-10-30
MTMDN,Midland Line,Down,Byford Direction Bassendean 7.900km to 8.150km Down,7.9,8.15,6,1,2021-07-31,2021-09-11
MTMDN,Midland Line,Down,Byford Direction Bassendean 7.900km to 8.150km Down Main,7.9,8.15,6,1,2021-09-18,2021-10-30
MTMUP,Midland Line,Up,Byford Up Direction Bassendean 7.900km to 8.150km,7.9,8.15,6,1,2021-01-23,2021-02-27
MTMUP,Midland Line,Up,Main design issues Bassendean 8.200km to 8.100km Up,8.1,8.2,6,1,2021-07-31,2021-09-11
MTMUP,Midland Line,Up,design issues Bassendean 8.200km to 8.100km Up Main,8.1,8.2,6,1,2021-09-18,2021-10-30
RTM,Mandurah Line,Unknown,Cockburn,,,6,2,2020-07-11,2020-08-22
RTMBI,Mandurah Line,Bidirectional,Thornlie Bi-directional Cockburn 21.142km to 21.242km,21.142,21.242,6,1,2021-07-24,2021-09-04
RTMDN,Mandurah Line,Down,Down Main Rockingham 43.067km to 42.065km,42.065,43.067,6,1,2021-09-18,2021-10-30
UNCLASSIFIED,Unclassified,Unknown,Damage FTMDN 6.9500km - 7.1700km,6.95,7.17,6,1,2024-06-16,2024-07-21
UNCLASSIFIED,Unclassified,Down,Down Main 20 issues Karrakatta FTMUP 9.580km 7,9.58,9.58,6,1,2022-02-26,2022-04-09
UNCLASSIFIED,Unclassified,Down,Main Mount 0.620 to 1.300km Down,0.62,1.3,6,2,2021-07-31,2021-09-11
UNCLASSIFIED,Unclassified,Unknown,Main design issues Claisebrook 0.850km to 0.950km,0.85,0.95,6,1,2021-07-31,2021-09-11
UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Cancelled Beyond Service 21.012km - 26.000km N/A,21.012,21.012,6,1,2024-07-28,2024-09-01
UNCLASSIFIED,Unclassified,Up,Up Main 21 design issues Mount MTMDN 0.800 to 1.300km,0.8,1.3,6,1,2022-02-26,2022-04-09
UNCLASSIFIED,Unclassified,Up,Up Main City West FTMUP 3.600km to 3.760km,3.6,3.76,6,1,2022-02-26,2022-04-09
UNCLASSIFIED,Unclassified,Up,Up Main Platform deformation East MTMDN 11.930km to 12.315km,11.93,12.315,6,1,2022-02-26,2022-04-09
UNCLASSIFIED,Unclassified,Unknown,Xing issues Abernethy 36.734km to 36.834km,36.734,36.834,6,1,2021-09-18,2021-10-30
UNCLASSIFIED,Unclassified,Down,issues Mount 0.620 to 1.300km Down Main,0.62,1.3,6,1,2021-09-18,2021-10-30
ATM,Armadale Line,Unknown,ATMBI 34.8000km to 34.9000km,34.8,34.9,5,1,2022-12-24,2023-01-22
ATM,Armadale Line,Unknown,ATMUP 10.000km - 11.043km,11.043,11.043,5,1,2025-06-29,2025-07-27
ATM,Armadale Line,Unknown,ATMUP 9.5400km to 9.4400km,9.44,9.54,5,1,2022-12-24,2023-01-22
ATMBI,Armadale Line,Bidirectional,Up Main design issues Armadale - ATMBI 40.747km to 40.874km Bi-,40.747,40.874,5,1,2021-11-13,2021-12-25
ATMDN,Armadale Line,Down,Central Down Main 1112A/1114A Armadale - ATMBI 34.18 to 34 34.28,34.18,34.28,5,1,2022-02-26,2022-04-02
ATMUP,Armadale Line,Up,Armadale Up Main Works Denny Ave 24.700km to 25.140km,24.7,25.14,5,1,2021-04-06,2021-05-01
ATMUP,Armadale Line,Up,Up Main Armadale 19.900km to 20.100km,19.9,20.1,5,1,2020-12-19,2021-01-30
FTM,Fremantle Line,Unknown,FTMDM 0.8480km - 1.3690km,0.848,1.369,5,2,2024-01-21,2024-02-18
FTM,Fremantle Line,Unknown,FTMDM 6.9500km - 7.1700km,6.95,7.17,5,2,2024-03-24,2024-04-14
FTM,Fremantle Line,Unknown,FTMDN 1.190km - 1.090km,1.09,1.19,5,3,2024-07-28,2024-08-25
FTM,Fremantle Line,Unknown,FTMUP 0.160km - 0.670km,0.16,0.67,5,2,2024-07-28,2024-09-01
FTM,Fremantle Line,Unknown,Fremantle 8.2 68 to 8.516,8.2,8.516,5,1,2019-06-15,2019-07-13
FTM,Fremantle Line,Unknown,design issues Claisebrook 0.850km to 0.950km Fremantle,0.85,0.95,5,1,2021-09-18,2021-10-30
FTMBI,Fremantle Line,Bidirectional,Robbs Jetty B-Directional Review Bassendean MTMDN 7.900km to 8.150km,7.9,8.15,5,1,2022-02-26,2022-04-02
FTMDN,Fremantle Line,Down,Fremantle Down Main Works Denny Ave 24.700km to 25.140km,24.7,25.14,5,1,2021-04-06,2021-05-01
FTMUP,Fremantle Line,Up,Up Main Karrakatta 9.580km Fremantle Up Main,9.58,9.58,5,1,2021-09-18,2021-10-30
JTM,Joondalup Line,Unknown,Joondalup 22.9 42 to 23.184,22.9,23.184,5,1,2019-06-15,2019-07-13
JTM,Joondalup Line,Unknown,Lawley Main Whitfords JTMDN 19.150 to 20.150km,19.15,20.15,5,1,2021-11-13,2021-12-25
JTM,Joondalup Line,Unknown,Leederville 2.4 65 to 2.780,2.4,2.78,5,1,2019-06-15,2019-07-13
JTM,Joondalup Line,Unknown,Leederville to Glendalough,,,5,1,2019-11-16,2019-12-14
JTMBI,Joondalup Line,Bidirectional,Rd Bi-Directional Warwick JTMDN 13.350km to 13.460km,13.35,13.46,5,1,2022-02-26,2022-04-02
MTM,Midland Line,Unknown,MTMDN 11.9300km to 13.2000km,11.93,13.2,5,1,2022-12-24,2023-01-22
MTM,Midland Line,Unknown,MTMDN 13.5940km - 13.6950,13.594,13.695,5,1,2024-03-03,2024-03-31
MTM,Midland Line,Unknown,MTMDN 7.900km - 8.1500km,7.9,8.15,5,1,2024-06-23,2024-07-21
MTM,Midland Line,Unknown,MTMUP 13.225km - 13.610km,13.225,13.61,5,1,2025-09-28,2025-10-26
MTMUP,Midland Line,Up,Up Main Ashfield MTMUP 7.007km to 7.158km,7.007,7.158,5,1,2021-11-13,2021-12-25
RTM,Mandurah Line,Unknown,RTMUP 43.332km - 43.472km,43.332,43.472,5,1,2025-03-30,2025-04-27
UNCLASSIFIED,Unclassified,Unknown,ARMUP 16.8200km - 17.0000km,16.82,16.82,5,1,2024-06-23,2024-07-21
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 40.747km - 40.874km N/A,40.747,40.874,5,1,2025-04-13,2025-05-11
UNCLASSIFIED,Unclassified,Down,Main issues Mount MTMDN 0.800 to 1.300km Down,0.8,1.3,5,1,2021-11-13,2021-12-25
UNCLASSIFIED,Unclassified,Unknown,Mount Lawley,,,5,3,2020-08-15,2020-11-21
UNCLASSIFIED,Unclassified,Unknown,Section,,,5,3,2020-08-15,2020-11-21
UNCLASSIFIED,Unclassified,Up,Up Main design issues Claisebrook 0.850km to 0.950km,0.85,0.95,5,2,2021-04-24,2021-08-14
ATM,Armadale Line,Unknown,14.270 to 12th September Kenwick Station 14.270 to 12th September Kenwick Station,14.27,14.27,4,1,2019-08-24,2019-09-14
ATM,Armadale Line,Unknown,Queens Park,,,4,2,2020-08-15,2020-09-05
ATMBI,Armadale Line,Bidirectional,Lawley Main Armadale - ATMBI 40.747km to 40.874km Bi-,40.747,40.874,4,1,2022-01-29,2022-02-19
ATMDN,Armadale Line,Down,9.450 to 9.550km Down Queens Park 9.450 to 9.550km Down Queens Park,9.45,9.55,4,1,2020-09-12,2020-10-03
ATMDN,Armadale Line,Down,Beckenham Down M ain Armadal e Line,,,4,2,2020-08-15,2020-09-05
ATMDN,Armadale Line,Down,Down Main Gosnells ATMUP 19.314km to 19.550km,19.314,19.55,4,1,2021-11-06,2021-11-27
FTM,Fremantle Line,Unknown,FTMDM 6.9500km - 7.1700km N/A,6.95,7.17,4,1,2024-02-25,2024-03-17
FTM,Fremantle Line,Unknown,FTMDN 1.578km - 1.775km,1.578,1.775,4,1,2025-03-09,2025-03-30
FTM,Fremantle Line,Unknown,FTMUP & DM 6.9500km - 7.1700km,6.95,7.17,4,1,2024-01-14,2024-02-04
FTM,Fremantle Line,Unknown,FTMUP 10.1250km - 10.6680km,10.125,10.668,4,1,2024-02-25,2024-03-17
FTM,Fremantle Line,Unknown,Fremantle - Robbs Sectio n,,,4,2,2019-07-20,2019-08-10
FTM,Fremantle Line,Unknown,Railway m Speed Restriction Cancelled Fremantle - FTMBI 21.012km to 26.000km B-,21.012,21.012,4,1,2022-04-16,2022-05-21
FTMDN,Fremantle Line,Down,Fremantle Down Main Mount Lawley 0.800 to 1.300km,0.8,1.3,4,1,2021-02-06,2021-02-27
JTM,Joondalup Line,Unknown,JTMUP 8.689km - 8.890km,8.689,8.89,4,1,2024-06-09,2024-06-30
JTM,Joondalup Line,Unknown,Leederville,,,4,1,2020-04-11,2020-05-02
JTM,Joondalup Line,Unknown,Leederville 2.465 to 2 .780,2.465,2.465,4,2,2019-07-20,2019-08-10
JTM,Joondalup Line,Unknown,Main issues Whitfords JTMDN 19.150 to 20.150km,19.15,20.15,4,1,2022-01-29,2022-02-19
JTM,Joondalup Line,Yard,Nowergup Yard Across 37 & 38,,,4,1,2019-07-20,2019-08-10
JTM,Joondalup Line,Unknown,Rd Directional Works Warwick JTMDN 13.350km to 13.460km,13.35,13.46,4,1,2022-01-29,2022-02-19
MTM,Midland Line,Unknown,MTMDN 8.885km - 9.650km,8.885,9.65,4,1,2026-05-17,2026-06-07
MTM,Midland Line,Unknown,MTMUP 0.660km - 0.800km,0.66,0.8,4,1,2025-02-09,2025-03-02
MTM,Midland Line,Unknown,MTMUP 0.660km - 1.625km,0.66,1.625,4,1,2025-01-12,2025-02-02
MTM,Midland Line,Unknown,MTMUP 12.140km - 10.980km,10.98,12.14,4,1,2024-09-08,2024-09-29
MTMUP,Midland Line,Up,Armadale Line Up Main Geometry Defects Midland 13.389km to 13.489km,13.389,13.489,4,1,2021-07-24,2021-08-21
MTMUP,Midland Line,Up,Up Main Ashfield MTMDN 6.700km to 7.100km,6.7,7.1,4,1,2022-01-29,2022-02-19
RTM,Mandurah Line,Unknown,RTMDN 37.550KM - 37.650km,37.55,37.65,4,1,2026-02-15,2026-03-08
RTMUP,Mandurah Line,Up,Mandurah Up Main Thornlie 2.350km to 2.500km,2.35,2.5,4,1,2021-07-24,2021-08-21
RTMUP,Mandurah Line,Up,Mandurah Up Main Welshpool 8.400km to 8.200km,8.2,8.4,4,1,2021-07-24,2021-08-21
UNCLASSIFIED,Unclassified,Unknown,Damage MTMDN 7.900km - 8.150km,7.9,8.15,4,1,2024-05-12,2024-06-02
UNCLASSIFIED,Unclassified,Down,Down Main 3rd Party City West FTMUP 3.600km to 3.760km,3.6,3.76,4,1,2022-01-29,2022-02-19
UNCLASSIFIED,Unclassified,Unknown,South Perth 2.690 km to 2.866 km,2.69,2.866,4,2,2020-08-15,2020-09-05
UNCLASSIFIED,Unclassified,Down,Up Main design issues Mount MTMDN 0.800 to 1.300km Down,0.8,1.3,4,1,2022-01-29,2022-02-19
UNCLASSIFIED,Unclassified,Unknown,deformation East MTMDN 11.930km to 12.315km,11.93,12.315,4,1,2022-01-29,2022-02-19
UNCLASSIFIED,Unclassified,Unknown,issues City 0.990km to 1.150km,0.99,1.15,4,1,2021-02-06,2021-02-27
ATM,Armadale Line,Unknown,14 Kenwick Station .270 to 14 .460k m,,,3,1,2019-07-27,2019-08-10
ATM,Armadale Line,Unknown,25 Kelmscott to Challis .975 to 26 .140k m,,,3,1,2019-07-27,2019-08-10
ATM,Armadale Line,Unknown,ATMUP 0.6300km TO 0.7300km,0.63,0.73,3,1,2023-04-08,2023-04-23
ATM,Armadale Line,Unknown,ATMUP 1.844km - 1.920km,1.844,1.92,3,1,2025-06-29,2025-07-13
ATM,Armadale Line,Unknown,ATMUP 16.8200km - 17.000km,16.82,16.82,3,1,2025-06-01,2025-06-29
ATM,Armadale Line,Unknown,ATMUP 9.8800km - 10.1900km,9.88,10.19,3,3,2023-11-12,2023-11-26
ATM,Armadale Line,Unknown,ATMUP 9.8800km to 10.1900km,9.88,10.19,3,1,2023-10-22,2023-11-05
ATM,Armadale Line,Unknown,Gosnells to 19 .300 to 19 .000k m,,,3,1,2019-07-27,2019-08-10
ATM,Armadale Line,Unknown,Maddington to 18.010 to 16th,18.01,18.01,3,1,2019-09-21,2019-10-05
ATM,Armadale Line,Unknown,Rd Directional Works Armadale ATMUP 29.350km to 29.411km,29.35,29.411,3,1,2021-11-13,2021-11-27
ATM,Armadale Line,Unknown,issues Armadale 18.100km to 18.250km,18.1,18.25,3,1,2020-12-19,2021-01-16
ATMBI,Armadale Line,Bidirectional,Armadale Bi-di Line Cockburn 21.270km to 21.170km,21.17,21.27,3,1,2021-07-31,2021-08-21
ATMBI,Armadale Line,Bidirectional,Railhead Armadale - ATMBI 29.411km to 29.710km Bi-,29.411,29.71,3,1,2021-11-13,2021-11-27
FTM,Fremantle Line,Unknown,FTMDN 1.1900km - 1.0900km,1.09,1.19,3,1,2024-07-07,2024-07-21
FTM,Fremantle Line,Unknown,FTMDN 6.950km - 7.170km,6.95,7.17,3,2,2024-08-11,2024-09-01
FTM,Fremantle Line,Unknown,FTMDP 6.9500km - 7.1700km,6.95,7.17,3,1,2024-04-21,2024-05-05
FTM,Fremantle Line,Unknown,FTMUM 6.9500km - 7.1700km,6.95,7.17,3,1,2024-04-21,2024-05-05
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 1.070 km,0.16,1.07,3,1,2026-05-03,2026-05-17
FTM,Fremantle Line,Unknown,FTMUP 1.4500km to 1.9300km,1.45,1.93,3,2,2023-10-22,2023-11-05
FTM,Fremantle Line,Unknown,FTMUP 4.748km - 4.920km,4.748,4.92,3,1,2025-12-21,2026-01-04
FTM,Fremantle Line,Unknown,FTMUP 4.9400km to 5.6410km,4.94,5.641,3,1,2023-08-11,2023-08-25
FTMDN,Fremantle Line,Down,Fremantle Down Main 2021 Mount 0.900 to 1.300km,0.9,1.3,3,1,2020-12-19,2021-01-16
FTMDN,Fremantle Line,Down,Fremantle Down Main Mount 0.800 to 1.300km,0.8,1.3,3,1,2021-04-06,2021-04-17
JTM,Joondalup Line,Yard,Acr Nowergup Yard oss 37 & 38,,,3,1,2019-06-29,2019-07-13
JTM,Joondalup Line,Unknown,JTMDM 25.8480km - 25.9600km,25.848,25.96,3,1,2024-07-07,2024-07-21
JTM,Joondalup Line,Unknown,JTMDN 15.8250km - 15.9520km,15.825,15.952,3,1,2024-02-04,2024-02-18
JTM,Joondalup Line,Unknown,JTMDN 19.1500km - 20.1500km,19.15,20.15,3,1,2024-07-07,2024-07-21
JTM,Joondalup Line,Unknown,JTMDN 2.227km - 2.462km,2.227,2.462,3,1,2025-11-30,2025-12-14
JTM,Joondalup Line,Unknown,JTMUP 8.6890km - 8.9890km,8.689,8.989,3,1,2024-07-07,2024-07-21
JTMDN,Joondalup Line,Down,Lawley Main Internal Defect Whitfords 19.150 to 20.150km Down,19.15,20.15,3,1,2021-07-31,2021-08-21
JTMDN,Joondalup Line,Down,Lawley Main Rail Internal Defect Whitfords 19.150 to 20.150km Down,19.15,20.15,3,1,2021-08-28,2021-09-11
MTM,Midland Line,Unknown,Bassendean to 9.200km to,9.2,9.2,3,1,2019-09-21,2019-10-05
MTM,Midland Line,Unknown,MTMDN 0.7400km - 1.3000km,0.74,1.3,3,1,2023-11-12,2023-11-26
MTM,Midland Line,Unknown,MTMDN 0.7400km to 1.3000km,0.74,1.3,3,1,2023-10-22,2023-11-05
MTM,Midland Line,Unknown,MTMDN 2.2840km - 2.933km,2.284,2.933,3,2,2025-10-12,2025-10-26
MTM,Midland Line,Unknown,MTMDN 9.5600km to 9.6800km,9.56,9.68,3,1,2023-10-22,2023-11-05
MTM,Midland Line,Unknown,MTMUN 8.1000km - 8.2000km,8.1,8.2,3,1,2024-02-04,2024-02-18
MTM,Midland Line,Unknown,Mundijong Directional Railhead Guildford MTMDN 10.250km to 10.350km,10.25,10.35,3,1,2021-11-13,2021-11-27
MTMBI,Midland Line,Bidirectional,Mundijong Armadale Bi-Directional Guildford 10.250km to 10.350km,10.25,10.35,3,1,2021-07-31,2021-08-21
MTMBI,Midland Line,Bidirectional,Mundijong Armadale Bi-Directional Railhead Guildford 10.250km to 10.350km,10.25,10.35,3,1,2021-08-28,2021-09-11
MTMDN,Midland Line,Down,Midland Down Main Wellard 38.366km to 38.466km,38.366,38.466,3,1,2021-07-31,2021-08-21
RTMBI,Mandurah Line,Bidirectional,Mundijong Bidirectional Elizabeth RTMUP,,,3,1,2022-02-26,2022-03-12
RTMDN,Mandurah Line,Down,Down Main Rockingham RTMUP 43.067km to 42.065km,42.065,43.067,3,1,2021-11-13,2021-11-27
RTMUP,Mandurah Line,Up,Mandurah Up Main Defect Thornlie 2.350km to 2.500km,2.35,2.5,3,1,2021-07-10,2021-08-14
UNCLASSIFIED,Unclassified,Unknown,ARMUP 19.240km - 19.5070km,19.24,19.507,3,1,2024-06-16,2024-06-30
UNCLASSIFIED,Unclassified,Unknown,ARMUP 19.294km - 19.5070km,19.294,19.507,3,1,2024-07-07,2024-07-21
UNCLASSIFIED,Unclassified,Unknown,Beyond Service 21.012km - 26.000km N/A,21.012,21.012,3,1,2024-07-07,2024-07-21
UNCLASSIFIED,Unclassified,Unknown,JTXBI 53.9470km - 54.1120km,53.947,54.112,3,2,2024-07-07,2024-07-21
UNCLASSIFIED,Unclassified,Unknown,Main Abernethy 36.734km to 36.834km,36.734,36.834,3,1,2021-07-24,2021-09-04
UNCLASSIFIED,Unclassified,Unknown,Main Abernethy Rd 36.734km to 36.834km,36.734,36.834,3,1,2021-07-31,2021-08-21
UNCLASSIFIED,Unclassified,Unknown,Main Works Abernethy 36.734km to 36.834km,36.734,36.834,3,1,2021-07-10,2021-08-14
UNCLASSIFIED,Unclassified,Up,Up Main design issues City 0.990km to 1.150km,0.99,1.15,3,1,2021-04-06,2021-04-17
UNCLASSIFIED,Unclassified,Up,Up Main issues North 18.800 to 18.920km,18.8,18.92,3,1,2021-04-06,2021-04-17
ATM,Armadale Line,Unknown,40.8740km ATMUP 16.8200km - 17.0000km 40.8740km ATMUP 16.8200km - 17.0000km,16.82,40.874,2,1,2023-11-12,2023-11-19
ATM,Armadale Line,Unknown,Gosnells to Maddington,,,2,1,2019-11-02,2019-11-09
ATM,Armadale Line,Unknown,issues Armadale 19.900km to 20.100km,19.9,20.1,2,1,2021-01-23,2021-01-30
ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Thornlie 2.350km to 2.500km,2.35,2.5,2,1,2021-08-28,2021-09-04
ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Works Sherwood 26.700km to 26.800km,26.7,26.8,2,1,2021-07-10,2021-07-17
ATMDN,Armadale Line,Down,Armadale Down Main Defect Cockburn 21.270km to 21.170km,21.17,21.27,2,1,2021-07-10,2021-07-17
ATMDN,Armadale Line,Down,Down Main Armadale 24.030km to 24.930km,24.03,24.93,2,1,2020-12-26,2021-01-16
ATMDN,Armadale Line,Down,Mandurah Down Main Beckenham 12.980km to 13.080km,12.98,13.08,2,1,2021-07-31,2021-08-07
ATMUP,Armadale Line,Up,25.848km Up Main issues Beckenham 12.725km to 25.848km Up Main issues Beckenham 12.725km to,12.725,25.848,2,1,2020-12-05,2020-12-12
ATMUP,Armadale Line,Up,Armadale Line Up Main Geometry Defects Armadale 29.350km to 29.710km,29.35,29.71,2,1,2021-08-28,2021-09-04
ATMUP,Armadale Line,Up,Up Main Armadale 24.030km to 24.930km,24.03,24.93,2,1,2020-12-26,2021-01-16
CP,City / Central Area,Unknown,CPDM 0.8480km to 1.3320km,0.848,1.332,2,1,2023-10-29,2023-11-05
FTM,Fremantle Line,Unknown,26.000km FTMUP 9.5800KM - 9.5800km 26.000km FTMUP 9.5800KM - 9.5800km,9.58,9.58,2,1,2023-11-12,2023-11-19
FTM,Fremantle Line,Unknown,FTMDN 8.310km - 8.8620km,8.31,8.862,2,2,2025-02-16,2025-02-23
FTM,Fremantle Line,Unknown,FTMUP 0.1600km - 1.0810km,0.16,1.081,2,1,2025-07-06,2025-07-13
FTM,Fremantle Line,Unknown,FTMUP 1.730km - 1.916km,1.73,1.916,2,1,2025-03-23,2025-03-30
FTM,Fremantle Line,Unknown,FTMUP 18.593km - 18.500km,18.5,18.593,2,1,2025-03-09,2025-03-16
FTM,Fremantle Line,Unknown,FTMUP 19.4800km -20.0200km,19.48,20.02,2,1,2024-03-10,2024-03-17
FTM,Fremantle Line,Unknown,FTMUP 19.490km - 19-750km,19.49,19.49,2,1,2025-06-08,2025-06-15
FTM,Fremantle Line,Unknown,FTMUP 6.9500km to 7.1700km,6.95,7.17,2,1,2023-10-29,2023-11-05
FTM,Fremantle Line,Unknown,Showgrounds,,,2,1,2019-12-07,2019-12-14
FTMDN,Fremantle Line,Down,Fremantle Down Main Mount 0.900 to 1.300km,0.9,1.3,2,1,2020-12-05,2020-12-12
FTMDN,Fremantle Line,Down,Fremantle Down Main Mount Lawley 0.900 to 1.300km,0.9,1.3,2,1,2021-01-23,2021-01-30
JTM,Joondalup Line,Unknown,25-05019 JTMDN 19.150km - 20.150km,19.15,20.15,2,1,2026-05-10,2026-05-17
JTM,Joondalup Line,Unknown,JTMDM 25.840km - 25.9600km,25.84,25.96,2,1,2024-06-23,2024-06-30
JTM,Joondalup Line,Unknown,JTMDN 2.227KM - 2.462km,2.227,2.462,2,1,2025-11-16,2025-11-23
JTM,Joondalup Line,Unknown,Joondalup D own Main,,,2,1,2020-08-29,2020-09-05
JTM,Joondalup Line,Unknown,Joondalup Main,,,2,1,2020-08-15,2020-08-22
JTM,Joondalup Line,Unknown,Leederville- Stirling,,,2,1,2019-01-18,2019-01-25
JTM,Joondalup Line,Unknown,Whitfords Main,,,2,1,2020-08-29,2020-09-05
JTM,Joondalup Line,Unknown,design issues Whitfords 20.150km to,20.15,20.15,2,1,2020-12-05,2020-12-12
JTMDN,Joondalup Line,Down,25.960km Down Main issues Joondalup 25.960km to 25.960km Down Main issues Joondalup 25.960km to,25.96,25.96,2,1,2020-12-05,2020-12-12
JTMDN,Joondalup Line,Down,Lawley Down Main Noise Whitfords 19.150 to 20.150km,19.15,20.15,2,1,2020-12-05,2020-12-12
JTMUP,Joondalup Line,Up,Up Main Leederville 2.300km to 2.350km,2.3,2.35,2,1,2021-01-23,2021-01-30
JTMUP,Joondalup Line,Up,Up Main issues Joondalup 25.848km to,25.848,25.848,2,1,2020-12-05,2020-12-12
JTMUP,Joondalup Line,Up,Whitfords Up Main,,,2,1,2020-08-15,2020-08-22
MTM,Midland Line,Unknown,11.230km to 11.330km Guildford 11.230km to 11.330km Guildford,11.23,11.33,2,1,2020-09-12,2020-09-19
MTM,Midland Line,Unknown,Direction Bassendean 7.900km to 8.150km,7.9,8.15,2,1,2020-12-05,2020-12-12
MTM,Midland Line,Unknown,MTMDN 11.750km - 11.850km,11.75,11.85,2,1,2024-08-11,2024-08-18
MTM,Midland Line,Unknown,MTMDN 11.9300KM TO 12.3150,11.93,12.315,2,1,2023-03-18,2023-03-25
MTM,Midland Line,Unknown,MTMDN 8.1000km - 8.2000km,8.1,8.2,2,1,2024-01-21,2024-01-28
MTM,Midland Line,Unknown,MTMUP 3.147km - 3.454km,3.147,3.454,2,1,2025-08-03,2025-08-10
MTM,Midland Line,Unknown,MTMUP 8.1000km - 8.2000km N/A,8.1,8.2,2,1,2024-06-16,2024-06-23
MTM,Midland Line,Unknown,design issues Bassendean 8.200km to 8.100km,8.1,8.2,2,1,2020-12-05,2020-12-12
MTMDN,Midland Line,Down,Midland Down Main Bayswater 5.114km to 5.214km,5.114,5.214,2,1,2021-08-28,2021-09-04
MTMDN,Midland Line,Down,Midland Line Down Main Armadale 29.373km to 41.430km,29.373,41.43,2,1,2021-07-31,2021-08-07
