reason_group,reason_raw,restriction_occurrences,distinct_tsr_count
Rail internal defect,04-Jun-24 Rail Internal Defect,1,1
Rail internal defect,20-Mar-24 Rail Internal Defect,1,1
Rail surface defect,11-Mar-25 Rail Surface Defect,1,1
Rail surface defect,28-Jul-22 Rail Surface Defects,1,1
Rail surface defect,6-Aug-24 Rail Surface Defect,1,1
Rail surface defect,7- Aug-2024 Rail Surface Defect,1,1
Structures / bridge,21-Mar-22 Structural Integrity,1,1
Structures / bridge,27-Oct-22 Structural Integrity TBC Public Transport Authority  WEEKLY NOTICE No. 10 4,1,1
Track condition,03-Jun-24 Track Defect Identified,1,1
Track condition,07-Nov-25 Track Condition,1,1
Track condition,17-Jun-25 Track Defect,1,1
Track condition,19-Mar-26 Heat Kick,1,1
Track condition,25-Mar-25 Track Defect,1,1
Track condition,Contaminated Railhead,1,1
Track condition,Rail Defect at 856A,1,1
Track condition,Rail defects 2019 12.760km Up Main,1,1
Track condition,Rail defects Challis Main 2019,1,1
Track condition,Rail defects Maddington Main 2019,1,1
Track condition,Track Stress,1,1
Track condition,multiple rail,1,1
Track geometry,13-Oct-23 Track Geometry,1,1
Track geometry,27-Aug-24 Track Geometry,1,1
Track geometry,29-Oct-2 Track Geometry,1,1
Track geometry,7-Mar-25 Track Alignment,1,1
Track geometry,Geometry,1,1
Turnout / points,& turnout design,1,1
Turnout / points,) Turnout defects,1,1
Turnout / points,) Turnout defects Mid-August,1,1
Turnout / points,01-Aug-25 Wing Rail,1,1
Turnout / points,03-June-21 Turnout,1,1
Turnout / points,06-May-24 Turnout,1,1
Turnout / points,09-Apr-24 Turnout,1,1
Turnout / points,14-Feb-24 Points Fault 0904/2024,1,1
Turnout / points,16-Jan-24 Points Fault,1,1
Turnout / points,16-Jan-24 Turnout 01/04/2024,1,1
Turnout / points,16-Jan-24 Turnout 15/03/2024,1,1
Turnout / points,19-Feb-24 New Turnout,1,1
Turnout / points,26-Jan-24 Points Fault,1,1
Turnout / points,27-Mar-25 Turnout,1,1
Turnout / points,31-May-24 Turnout,1,1
Turnout / points,August 2020 turnout design issues,1,1
