tsr_master_id,line_key,line_name,location_direction,affected_area,latest_reason_raw,reason_group,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,duration_bucket
3776,FTM,Fremantle Line,Unknown,FTMDN 14.9350km - 15.0350km,7-Aug-24 Rail Surface Defect,Rail surface defect,2024-08-11,2024-08-11,1,0,2024-08-11,1 week
3777,FTM,Fremantle Line,Unknown,FTMDN 6.950km - 7.170km,21-Mar-24 Structural Integrity,Structures / bridge,2024-08-11,2024-08-11,1,0,2024-08-11,1 week
3787,MTM,Midland Line,Unknown,MTMUP 13.950km - 13.400km,7-Aug-24 Rail Surface Defect,Rail surface defect,2024-08-11,2024-08-11,1,0,2024-08-11,1 week
3818,FTM,Fremantle Line,Unknown,FTMDN 1.190km - 1.090km,28-Jun-24 Rail Surface Defect,Rail surface defect,2024-08-25,2024-08-25,1,0,2024-08-25,1 week
3826,JTM,Joondalup Line,Unknown,JTMDN 14.935km - 15.035km,7- Aug-2024 Rail Surface Defect,Rail surface defect,2024-08-25,2024-08-25,1,0,2024-08-25,1 week
3846,MTM,Midland Line,Unknown,MTMDN 0.400km - 1.300km,27-Aug-24 Track Geometry,Track geometry,2024-09-01,2024-09-01,1,0,2024-09-01,1 week
3854,CTM,City / Central Area,Unknown,CTMDN 1.190km - 1.090km,28-Jun-24 Rail Surface Defect,Rail surface defect,2024-09-01,2024-09-01,1,0,2024-09-01,1 week
4238,RTM,Mandurah Line,Unknown,RTMDN 53.660km - 53.760km,11-Nov-24 Rail Surface Defect,Rail surface defect,2025-01-26,2025-01-26,1,0,2025-01-26,1 week
4248,MTM,Midland Line,Unknown,MTMDN 13.591km - 13.695km,3-Sep-24 Turnout,Turnout / points,2025-02-02,2025-02-02,1,0,2025-02-02,1 week
4262,RTM,Mandurah Line,Unknown,RTMUP 55.930km - 56.330km,11-Nov-24 Rail Surface Defect,Rail surface defect,2025-02-02,2025-02-02,1,0,2025-02-02,1 week
4270,FTM,Fremantle Line,Unknown,FTMDN 7.870km - 8-950km,5-Feb-25 Rail Internal Defect,Rail internal defect,2025-02-09,2025-02-09,1,0,2025-02-09,1 week
4294,FTM,Fremantle Line,Unknown,FTMDN 8.310km - 8.8620km,10-Feb-25 Miscellaneous,Other / review required,2025-02-16,2025-02-16,1,0,2025-02-16,1 week
4318,FTM,Fremantle Line,Unknown,FTMDN 8.310km - 8.8620km,10-Feb-25 Miscellaneous,Other / review required,2025-02-23,2025-02-23,1,0,2025-02-23,1 week
4368,FTM,Fremantle Line,Unknown,FTM 0.000km - 0.000km,7-Mar-25 Track Alignment,Track geometry,2025-03-09,2025-03-09,1,0,2025-03-09,1 week
4395,FTM,Fremantle Line,Unknown,FTMDN 14.935km - 16.450km,11-Mar-25 Rail Surface Defect,Rail surface defect,2025-03-16,2025-03-16,1,0,2025-03-16,1 week
4419,MTM,Midland Line,Unknown,MTMDN 7.900km - 8.180km,27-Mar-25 Turnout,Turnout / points,2025-03-23,2025-03-23,1,0,2025-03-23,1 week
4431,UNCLASSIFIED,Unclassified,Unknown,Speed Imposed Restriction Cancelled MTMDN 7.900km - 8.150km,27-Mar-20 Permanent TSR,Other / review required,2025-03-30,2025-03-30,1,0,2025-03-30,1 week
