source_pdf_id,notice_date,filename,url,status,tsr_table_count,tsr_row_count,rejected_row_count,artifact_row_count,extraction_strategy,last_error
34,2019-05-11,Weekly Notice No. 19 Week Ending- 11 May 2019__2fdeaf43da.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 19 Week Ending- 11 May 2019.pdf?ver=kF7DI6Iunv9Z-aT7EzswpQ%3d%3d,processed,2,2,10,2,table_lines:1;table_text:1,
35,2019-05-18,Weekly Notice No. 20 Week Ending- 18th May 2019__e90292428e.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 20 Week Ending- 18th May 2019.pdf?ver=JZkuCV0g9C0_st7ml3L3pQ%3d%3d,processed,2,2,10,2,table_lines:1;table_text:1,
36,2019-05-25,Weekly Notice No. 21 Week Ending- 25th May 2019__8dafc5cd20.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 21 Week Ending- 25th May 2019.pdf?ver=b4X9dcnksvB1OcREZ4Trbw%3d%3d,processed,2,2,10,2,table_lines:1;table_text:1,
37,2019-06-15,Weekly Notice No. 24 Week Ending- 15 June 2019__d20cbf3bab.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 24 Week Ending- 15 June 2019.pdf?ver=P8oa_HF7xHQdXjIInvC4-Q%3d%3d,processed,2,4,13,2,table_lines:1;table_text:1,
38,2019-06-22,Weekly Notice No. 25 Week Ending- 22nd June 2019__7202653c24.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 25 Week Ending- 22nd June 2019.pdf?ver=NZaoeJTsF_cy0Ygdz-2VNQ%3d%3d,processed,2,4,13,2,table_lines:1;table_text:1,
39,2019-06-29,Weekly Notice No. 26 Week Ending- 29th June 2019__07c48c35f7.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 26 Week Ending- 29th June 2019.pdf?ver=LaAsD9aS4FrDDsVy6SwfMw%3d%3d,processed,2,5,14,2,table_lines:1;table_text:1,
40,2019-07-06,Weekly Notice No. 27 Week Ending- 6th July 2019__41c8bd4c1c.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 27 Week Ending- 6th July 2019.pdf?ver=bcGygDB7cHreUzNsM1m-nA%3d%3d,processed,2,5,14,2,table_lines:1;table_text:1,
41,2019-07-13,Weekly Notice No. 28 Week Ending- 13th July 2019__0f0757de81.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 28 Week Ending- 13th July 2019.pdf?ver=n6TICCVJz0PupZ0OI29hLg%3d%3d,processed,2,5,14,2,table_lines:1;table_text:1,
42,2019-07-20,Weekly Notice No. 29 Week Ending- 20th July 2019__d84ad85105.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 29 Week Ending- 20th July 2019.pdf?ver=pU4KQGT44fcqlCx0R_dXZQ%3d%3d,processed,2,4,11,3,table_lines:1;table_text:1,
43,2019-07-27,Weekly Notice No. 30 Week Ending- 27th July 2019__2e6992b157.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 30 Week Ending- 27th July 2019.pdf?ver=x7SgqDhqJiWvEEupEgZJPQ%3d%3d,processed,2,6,12,4,table_lines:1;table_text:1,
44,2019-08-03,Weekly Notice No. 31 Week Ending- 3rd August 2019__d3a0647a30.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 31 Week Ending- 3rd August 2019.pdf?ver=N_j-Z8EstIr-gIJpAKcySA%3d%3d,processed,2,6,12,4,table_lines:1;table_text:1,
45,2019-08-10,Weekly Notice No. 32 Week Ending- 10th August 2019__b82f814f0a.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 32 Week Ending- 10th August 2019.pdf?ver=vqHqFrjOPCkvnolTP5AEyg%3d%3d,processed,2,6,12,4,table_lines:1;table_text:1,
46,2019-08-24,Weekly Notice No. 34 Week Ending- 24th August 2019__b7fb7e8382.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 34 Week Ending- 24th August 2019.pdf?ver=JA7OX0ZTJ65JMDcsoo4SCg%3d%3d,processed,2,6,0,0,table_lines:1;text_line:1,
